specObjID,bestobjid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other,u,g,r,i,z,petroRadErr_r
443688981213767680,587731186208997544,76.94128,121.2131,129.4371,491.1579,0.53600001335144,0.392999991774559,0.0710000023245811,18.85905,17.82451,17.42615,17.08713,16.94996,0.186675
443692280822392832,587731186208997544,75.61102,110.705,117.9888,469.571,0.53600001335144,0.392999991774559,0.0710000023245811,18.85905,17.82451,17.42615,17.08713,16.94996,0.186675
448244532379674624,588015509277704289,90.66918,105.7926,121.5751,410.2758,0.0790000036358833,0.658000018447638,0.263000003993511,18.98583,18.01046,17.59651,17.25353,17.11963,0.1181874
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127219475539968,587731511539793980,702.9227,303.7887,379.0098,1047.059,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457127488682747904,587731511539793980,711.6039,318.7559,381.9081,1028.231,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457131061692884992,587731511539793980,766.6664,272.862,392.3172,1010.66,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457131061692884992,587731511539793980,766.6664,272.862,392.3172,1010.66,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457131061692884992,587731511539793980,766.6664,272.862,392.3172,1010.66,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457131061692884992,587731511539793980,766.6664,272.862,392.3172,1010.66,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
457131061692884992,587731511539793980,766.6664,272.862,392.3172,1010.66,0.5,0.184000000357628,0.316000014543533,18.57922,18.06144,17.69884,17.27262,17.2159,0.02430446
