specObjID,bestobjid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,elliptical,spiral,other
2042513624194377728,588017991771488466,182.8631,49.15133,95.71429,186.6647,0.666999995708466,0.242999993264675,0.090999998152256
2049201122970724352,587736542026203488,14.61471,69.57739,168.9121,371.9583,0.296999990940094,0.621000004932284,0.0810000002384186
493273933177448448,587725552269918475,51.97634,105.9919,210.157,571.6454,0.540000021457672,0.240000002086163,0.219999998807907
510101959160653824,588007004168585328,144.0902,172.4566,201.1382,739.1301,0.526000022888184,0.264000002294779,0.210999995470047
736479037689456640,587727226767605815,429.3624,402.3001,424.9327,1578.031,0.528999984264374,0.175999999046326,0.293999999761581
1014587043222677504,587731500256395413,61.15286,158.4343,281.8063,700.9906,0.584999978542328,0.303000003099442,0.112999998033047
1032482415555143680,587729776907780103,72.86724,149.5092,284.7674,805.7603,0.53600001335144,0.10700000077486,0.357000008225441
1558250471234234368,588017948292743410,165.6821,234.5579,249.2408,912.4366,0.418999999761581,0.160999994724989,0.418999999761581
1856780248150992896,588017979446329505,7.784009,44.92317,98.27419,226.1958,0.558000028133392,0.344000002369285,0.0980000030249357
1856780248150992896,588017979446329505,7.784009,44.92317,98.27419,226.1958,0.558000028133392,0.344000002369285,0.0980000030249357
2582910119708747776,587739648345702551,20.17485,42.44177,45.1566,142.7514,0.344999998807907,0.491000011563301,0.162999995052814
2830684229623375872,587741726576476383,31.9869,105.6041,163.5893,506.2681,0.575999975204468,0.302999999374151,0.120999999344349
473025051944314880,587724199887569058,42.71918,67.64967,75.4343,271.2191,0.216999992728233,0.637000016868114,0.144999995827675
709386244936722432,588007004196897134,26.76914,60.48685,66.45775,219.971,0.421999990940094,0.534000009298325,0.0439999997615814
720749974635177984,587726878877679888,91.04689,83.13562,48.3713,253.6299,0.226999998092651,0.698999976739287,0.0740000009536743
953809610244909056,588010879301845004,1002.105,364.451,191.5529,1352.144,0.222000002861023,0.0740000009536743,0.703000009059906
953809610244909056,588010879301845004,1002.105,364.451,191.5529,1352.144,0.222000002861023,0.0740000009536743,0.703000009059906
953809610244909056,588010879301845004,1002.105,364.451,191.5529,1352.144,0.222000002861023,0.0740000009536743,0.703000009059906
1504364499795208192,587735666927468810,251.8962,216.5089,270.3119,1041.11,0.428999990224838,0.357000008225441,0.214000001549721
1790191072257796096,588016839639564461,11.62175,68.66786,171.7709,393.5549,0.017000000923872,0.916999973356724,0.0670000016689301
2283391320707852288,587739303687684249,388.4811,273.9117,296.7453,1194.61,0.397000014781952,0.222999997437,0.380999997258186
2502890674832041984,587741600419151994,8.258534,39.40728,85.4577,221.1888,0.515999972820282,0.450999986380339,0.0320000015199184
2509792584700815360,587741722282754181,20.24364,55.33425,83.16248,239.381,0.476000010967255,0.476000003516674,0.0480000004172325
815315947358283776,587730817365245979,422.6133,289.0179,136.3284,941.7023,0.0829999968409538,0.125,0.791000008583069
1569639487334541312,588017115590426784,20.3258,97.15882,214.1837,494.8503,0.697000026702881,0.211999997496605,0.090999998152256
1864506522801825792,588017978378092729,218.2604,314.9713,305.3441,1285.188,0.0860000029206276,0.0859999991953373,0.827999979257584
2371228279249070080,587739294013784146,27.95116,119.3879,290.2883,668.6761,0.754999995231628,0.162000000476837,0.0820000022649765
457170369233577984,588015509284847770,160.9611,108.3193,60.08564,385.6817,0.14300000667572,0.428000003099442,0.428000010550022
457170369233577984,588015509284847770,160.9611,108.3193,60.08564,385.6817,0.14300000667572,0.428000003099442,0.428000010550022
457170369233577984,588015509284847770,160.9611,108.3193,60.08564,385.6817,0.14300000667572,0.428000003099442,0.428000010550022
463902410461440000,588015508753612950,10.6892,49.04386,70.99969,197.6169,0.418999999761581,0.488000011071563,0.0930000022053719
1173316941264218112,587733081354993766,65.50089,95.90388,104.4919,375.0976,0.483000010251999,0.448000010102987,0.0689999982714653
