dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587727221951430801,1237652943176335488,5.11727685943732E-06,2.38721628,14.92928944,1.538459,4.029695
587727225694650487,1237652946919555162,1.80742596846484E-06,10.4777587,-10.49573329,1.70055,4.864771
587727225694650487,1237652946919555162,1.80742596846484E-06,10.4777587,-10.49573329,1.70055,4.864771
587727226235584615,1237652947460489307,3.76825535357027E-06,19.84605089,-9.86965263,1.63888,3.941571
587727226767605815,1237652947992510566,6.61500874097132E-07,8.65174421,-9.57550958,1.084978,3.069829
587727231595577521,1237652952820482221,1.54099581648699E-06,23.85525857,-8.6467482,1.746233,3.633978
587727231597281401,1237652952822186165,5.70453319091636E-06,27.81032212,-8.48153626,3.425827,7.682113
587727231597281401,1237652952822186165,5.70453319091636E-06,27.81032212,-8.48153626,3.425827,7.682113
587727779743793259,1237653500968697936,3.03384932068878E-06,35.10936289,-9.26749943,1.419173,3.092732
587727865645760598,1237653586870665456,4.4798568529285E-06,121.43963868,39.20536129,1.144711,2.703469
587727865645760598,1237653586870665456,4.4798568529285E-06,121.43963868,39.20536129,1.144711,2.703469
587727866718388354,1237653587943293091,1.98993596648855E-06,118.48344201,37.7245148,1.145468,2.983172
587727866718388354,1237653587943293091,1.98993596648855E-06,118.48344201,37.7245148,1.145468,2.983172
587727866718388354,1237653587943293091,1.98993596648855E-06,118.48344201,37.7245148,1.145468,2.983172
587727866718388354,1237653587943293091,1.98993596648855E-06,118.48344201,37.7245148,1.145468,2.983172
587727942952943700,1237653664177848404,4.54470035217263E-06,133.38448992,0.95478285,1.531993,3.294403
587727944027078928,1237653665251983604,1.6229493742883E-05,134.22865744,1.88163958,1.7001,3.71274
587727944027078928,1237653665251983604,1.6229493742883E-05,134.22865744,1.88163958,1.7001,3.71274
587728308030013586,1237654029254918268,3.580381073777E-06,171.68807879,1.98670039,1.86745,5.539329
587728308568588469,1237654029793493177,3.84874255249799E-06,175.67646797,2.38280514,3.058343,6.853637
587728309642526864,1237654030867431564,7.88909039322016E-06,176.13394258,3.19803679,1.844157,3.699136
587728664506073210,1237654385730977912,6.19666847429669E-06,126.05466973,43.62250534,1.450145,3.056822
587728664506073210,1237654385730977912,6.19666847429669E-06,126.05466973,43.62250534,1.450145,3.056822
587728664506073210,1237654385730977912,6.19666847429669E-06,126.05466973,43.62250534,1.450145,3.056822
587728664506073210,1237654385730977912,6.19666847429669E-06,126.05466973,43.62250534,1.450145,3.056822
587728665579749471,1237654386804654178,0.000105736395079836,124.88763845,44.06147173,1.813502,4.323769
587728677394579646,1237654398619484382,5.45737355805959E-05,186.32326741,64.27976437,1.667335,4.541711
587728879272329343,1237654600497234026,5.42172361670959E-06,167.33746913,4.02671963,1.758115,3.826112
587728879272329343,1237654600497234026,5.42172361670959E-06,167.33746913,4.02671963,1.758115,3.826112
587728879793537370,1237654601018442078,1.96679991622384E-06,131.55148779,2.64807891,1.985634,4.300352
587728879802712201,1237654601027616876,2.84253298421563E-06,152.45326921,3.84560006,2.86887,7.893342
587728879802712201,1237654601027616876,2.84253298421563E-06,152.45326921,3.84560006,2.86887,7.893342
587728879802712201,1237654601027616876,2.84253298421563E-06,152.45326921,3.84560006,2.86887,7.893342
587728879802712201,1237654601027616876,2.84253298421563E-06,152.45326921,3.84560006,2.86887,7.893342
587728879802712201,1237654601027616876,2.84253298421563E-06,152.45326921,3.84560006,2.86887,7.893342
587728879802712201,1237654601027616876,2.84253298421563E-06,152.45326921,3.84560006,2.86887,7.893342
587728879807758477,1237654601032663148,3.56293438194537E-06,164.08112806,4.40725834,1.737413,4.392391
587728918982164621,1237654640207069310,3.6887392206854E-05,205.08493381,63.65091688,1.615232,3.511994
