dr7objid,dr8objid,distance
587735429618729062,1237661150843633749,2.95041075092919E-06
587735664777560194,1237661386002464894,1.04725667087661E-05
587735666378080264,1237661387602985066,8.51545172106154E-05
587735666378080264,1237661387602985066,8.51545172106154E-05
587735666378080264,1237661387602985066,8.51545172106154E-05
587735666379653297,1237661387604557997,8.74756798163516E-05
587735695369764996,1237661416594669706,8.37796781419653E-05
587735696445210766,1237661417670115448,6.72371651390024E-05
587735696445210766,1237661417670115448,6.72371651390024E-05
587735744227836216,1237661465452740985,8.57744805842167E-06
587735744227836216,1237661465452740985,8.57744805842167E-06
587736525372129480,1237662246597034150,4.79625174422303E-06
587736525372129480,1237662246597034150,4.79625174422303E-06
587736525372129480,1237662246597034150,4.79625174422303E-06
587736525372129480,1237662246597034150,4.79625174422303E-06
587736525372129480,1237662246597034150,4.79625174422303E-06
587736541474652389,1237662262699557080,5.03021646962974E-06
587736541474652389,1237662262699557080,5.03021646962974E-06
587736541474652389,1237662262699557080,5.03021646962974E-06
587736541480026218,1237662262704930955,5.46756147420425E-07
587736543099093145,1237662264323997805,7.2671496733368E-06
587736543100666193,1237662264325570909,6.27858454624026E-06
587736543101321655,1237662264326226344,4.99466180366439E-06
587736584425111697,1237662305650016444,1.89511948539173E-06
587736584425111697,1237662305650016444,1.89511948539173E-06
587736584425111697,1237662305650016444,1.89511948539173E-06
587736584434090176,1237662305658994921,9.10692637811009E-06
587736584434876671,1237662305659781410,1.81466569194845E-06
587736584962113614,1237662306187018293,3.99612528780643E-06
587736584962113614,1237662306187018293,3.99612528780643E-06
587736584980463823,1237662306205368503,3.27253665236281E-06
587736585513992570,1237662306738897253,2.19678664490252E-05
587736585513992570,1237662306738897253,2.19678664490252E-05
587736586045685922,1237662307270590700,6.46008259234308E-06
587736586045685922,1237662307270590700,6.46008259234308E-06
587736586045685922,1237662307270590700,6.46008259234308E-06
587736586047127757,1237662307272032488,4.60054855076349E-06
587736586047127757,1237662307272032488,4.60054855076349E-06
587736586047324301,1237662307272229001,7.64487079634516E-06
587736618790158431,1237662340015063113,3.97378181564074E-06
587736618790158431,1237662340015063113,3.97378181564074E-06
587736619325063335,1237662340549968014,5.40827566858148E-06
587736751932506320,1237662473157411036,3.94104452537432E-06
587736751932506320,1237662473157411036,3.94104452537432E-06
587736751932506320,1237662473157411036,3.94104452537432E-06
587736752468001109,1237662473692905842,4.52526235465301E-06
587736752468001109,1237662473692905842,4.52526235465301E-06
587736807765442730,1237662528990347439,7.72829311280751E-07
587736807765442730,1237662528990347439,7.72829311280751E-07
587736807765442730,1237662528990347439,7.72829311280751E-07
587736809916268709,1237662531141173430,6.04364297308224E-06
587736916762362003,1237662637987266978,1.08293270003401E-05
587736916762362003,1237662637987266978,1.08293270003401E-05
587736916762362003,1237662637987266978,1.08293270003401E-05
587736941450035309,1237662662674940000,1.65860941951197E-06
587736941450035309,1237662662674940000,1.65860941951197E-06
587736941994246663,1237662663219151325,4.13534743502242E-06
587736946812584133,1237662668037489070,1.64496276158972E-05
587736974731706461,1237662695956611172,2.74736939299304E-06
587736974731706461,1237662695956611172,2.74736939299304E-06
587736974731706461,1237662695956611172,2.74736939299304E-06
587736975271788625,1237662696496693316,9.0932562005009E-06
587736975271788625,1237662696496693316,9.0932562005009E-06
587736975278932346,1237662696503836971,1.33284601840629E-05
587737810108350471,1237663531333255175,6.06987786157862E-05
587737810108350471,1237663531333255175,6.06987786157862E-05
587737810108612869,1237663531333517552,6.81345049228465E-05
587737810108612869,1237663531333517552,6.81345049228465E-05
587737810114838704,1237663531339743416,0.000100066533929205
587737825140736229,1237663546365641033,7.35198568403713E-05
587737825676755217,1237663546901659919,6.81665856705793E-05
587738066734153765,1237663787959058538,0.000114526661743699
587738068346470509,1237663789571375297,7.8649003360616E-05
587738068346470509,1237663789571375297,7.8649003360616E-05
587738068346470509,1237663789571375297,7.8649003360616E-05
587738195040206958,1237663916265111625,7.67607629166459E-05
587738195040206958,1237663916265111625,7.67607629166459E-05
587738409790275753,1237664131015180438,4.3540161087869E-06
587738409790275753,1237664131015180438,4.3540161087869E-06
587738564942758570,1237664286167663258,6.12125985562993E-06
587738569777938632,1237664291002843374,1.04327441346295E-05
587738569777938632,1237664291002843374,1.04327441346295E-05
587738570311335969,1237664291536240817,2.02258154841211E-05
587738574604992721,1237664295829897415,3.03081644484834E-06
587738574604992721,1237664295829897415,3.03081644484834E-06
587738574604992721,1237664295829897415,3.03081644484834E-06
587738574604992721,1237664295829897415,3.03081644484834E-06
587738574604992721,1237664295829897415,3.03081644484834E-06
587738574608400393,1237664295833305254,4.86820100906488E-06
587738574608400393,1237664295833305254,4.86820100906488E-06
587738617561219157,1237664338786123842,1.16990663908155E-05
587738947222044893,1237664668446949574,4.55870098223525E-06
587738947735453913,1237664668960358618,3.10529317143963E-06
587738948294344860,1237664669519249606,5.64175165421211E-06
587738951492698195,1237664672717603050,6.70981245305598E-06
587738951492698195,1237664672717603050,6.70981245305598E-06
587739096450138235,1237664817675042952,4.27763625135944E-06
587739098063765582,1237664819288670288,1.09521500586603E-05
587739114167206154,1237664835392110792,1.827389186413E-06
587739115778081023,1237664837002985706,6.48749407306862E-07
587739130815905994,1237664852040810703,8.36641502433346E-06
587739131888337206,1237664853113241895,2.24030456637806E-06
587739131888337206,1237664853113241895,2.24030456637806E-06
587739156578500701,1237664877803405400,6.34945978802981E-06
587739157654405281,1237664878879309972,7.66732010124278E-06
