dr7objid,dr8objid,distance
587729231982232075,1237654953207136819,6.48285433958178E-06
587729231982232075,1237654953207136819,6.48285433958178E-06
587729233054794006,1237654954279698736,1.05370094908114E-05
587729233059054103,1237654954283958852,1.44091824514867E-05
587729233059054103,1237654954283958852,1.44091824514867E-05
587729385539305509,1237655106764210213,8.92197159855568E-05
587729385539305509,1237655106764210213,8.92197159855568E-05
587729385539305509,1237655106764210213,8.92197159855568E-05
587729385539305509,1237655106764210213,8.92197159855568E-05
587729386066083959,1237655107290988660,0.000101351464844737
587729386608263330,1237655107833167973,9.40238461758013E-05
587729386613112908,1237655107838017607,9.207705578872E-05
587729387680891039,1237655108905795806,0.000102138635728496
587729387680891039,1237655108905795806,0.000102138635728496
587729388208848964,1237655109433753664,9.04804106527701E-06
587729388208848964,1237655109433753664,9.04804106527701E-06
587729388208848964,1237655109433753664,9.04804106527701E-06
587729747913343328,1237655469138248076,3.96084179456053E-06
587729748449493193,1237655469674397930,1.74105328058371E-06
587729752749965473,1237655473974870561,2.30457780904493E-06
587729773148569829,1237655494373474570,1.09678151812752E-06
587729776907780103,1237655498132684806,1.84878238569556E-05
587729777979883766,1237655499204788466,6.92147144774064E-06
587729778522062961,1237655499746967640,5.29047279939811E-06
587730021715738749,1237655742940643442,2.23611855082324E-06
587730022788825222,1237655744013729898,7.13280045698544E-06
587730773337374808,1237656494562279502,2.8964852335933E-06
587730773338882558,1237656494563787175,1.50563600688351E-06
587730817365245979,1237656538590150830,1.56615227645064E-05
587730846356406507,1237656567581311160,3.74480707323529E-06
587730847964463584,1237656569189368278,4.13396452999549E-06
587730847965839804,1237656569190744490,3.2769511460003E-06
587730847965839804,1237656569190744490,3.2769511460003E-06
587730848501137816,1237656569726042481,2.55527880881519E-06
587730848501137816,1237656569726042481,2.55527880881519E-06
587730848501137816,1237656569726042481,2.55527880881519E-06
587730848501137816,1237656569726042481,2.55527880881519E-06
587731172232528388,1237656893457433055,2.29144788429348E-06
587731185662558420,1237656906887463082,1.45016092132459E-06
587731186207293641,1237656907432198376,6.09893528886116E-06
587731186207293641,1237656907432198376,6.09893528886116E-06
587731186208997544,1237656907433902279,5.23819545046871E-06
587731186726928842,1237656907951833551,9.37722544398265E-07
587731186726928842,1237656907951833551,9.37722544398265E-07
587731186726928842,1237656907951833551,9.37722544398265E-07
587731186726928842,1237656907951833551,9.37722544398265E-07
587731186734465319,1237656907959370114,3.04506329305026E-06
587731186744230027,1237656907969134754,2.06669745810424E-06
587731187805782213,1237656909030686942,1.60769043829451E-06
587731187817054247,1237656909041959014,3.72235114449474E-05
