dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587727865649627291,1237653586874532005,1.03173662539704E-05,129.13187106,46.03584465,1.700826,4.752926
587727866717995276,1237653587942900023,7.89493679091478E-06,117.80181839,36.96719734,2.729489,5.502966
587727866717995276,1237653587942900023,7.89493679091478E-06,117.80181839,36.96719734,2.729489,5.502966
587727867254866176,1237653588479770964,7.53586584954119E-06,117.38448033,37.18375311,2.084362,6.325069
587727942958776435,1237653664183681128,1.1319355406331E-05,146.68349481,1.4390743,1.665261,4.86153
587727944027078984,1237653665251983660,6.10760067141241E-06,134.30364053,1.81342129,2.897784,7.062711
587727944027078984,1237653665251983660,6.10760067141241E-06,134.30364053,1.81342129,2.897784,7.062711
587728676861182128,1237654398086086857,6.26224305039743E-05,203.57846456,62.52929776,1.546023,3.813027
587728676861182128,1237654398086086857,6.26224305039743E-05,203.57846456,62.52929776,1.546023,3.813027
587728879265120411,1237654600490025162,9.72933258362031E-06,150.84017653,3.41887541,3.045795,6.425309
587728880344367215,1237654601569271910,5.0701584710717E-06,163.40643103,4.75103325,2.274523,5.116326
587728880344367215,1237654601569271910,5.0701584710717E-06,163.40643103,4.75103325,2.274523,5.116326
587728880344367215,1237654601569271910,5.0701584710717E-06,163.40643103,4.75103325,2.274523,5.116326
587728880878157934,1237654602103062643,4.97699523530725E-06,156.35622679,4.97224277,3.37666,6.864215
587728918985375832,1237654640210280518,4.55077765553706E-05,219.39243622,60.63695235,2.171374,5.127376
587728931332948214,1237654652557852932,4.91739726879411E-06,115.16658289,30.60720731,2.867874,6.55491
587728931335504170,1237654652560408887,2.11504769930746E-06,119.20507348,35.27417151,1.375124,3.647739
587728931884499090,1237654653109403802,7.76563437441653E-05,148.07512826,54.65022222,2.069683,4.909041
587728932408983836,1237654653633888527,3.448032351574E-06,117.9653838,35.28121362,1.768559,4.690118
587728932408983836,1237654653633888527,3.448032351574E-06,117.9653838,35.28121362,1.768559,4.690118
587728947979157657,1237654669204062412,1.3326961415793E-06,162.21318141,-0.76411082,2.00105,5.63994
587729153597309049,1237654874822213760,7.0631929978681E-05,178.36595368,63.99933932,1.587374,3.878374
587729153598947407,1237654874823852098,5.04019615633591E-05,186.86170392,63.99569187,1.952283,4.444732
587729160577155248,1237654881802059981,8.72680759936638E-06,194.97491203,6.01395245,1.441964,3.5431
587729160577155248,1237654881802059981,8.72680759936638E-06,194.97491203,6.01395245,1.441964,3.5431
587729160579645565,1237654881804550267,7.21970105710584E-06,200.73991212,5.98265126,2.641385,5.978822
587729160579645565,1237654881804550267,7.21970105710584E-06,200.73991212,5.98265126,2.641385,5.978822
587729227146133656,1237654948371038350,3.91521786598718E-05,219.57591445,62.39740807,2.616341,6.443112
587729385542778969,1237655106767683674,7.1407074736391E-05,186.45582637,58.75963515,3.083277,6.800817
587729385542778969,1237655106767683674,7.1407074736391E-05,186.45582637,58.75963515,3.083277,6.800817
587729386597843210,1237655107822747901,4.75153474822819E-06,124.42058216,40.01030148,3.124985,6.831184
587729386603413684,1237655107828318393,9.05124141505059E-05,137.12286598,48.83423398,1.668737,4.718079
587729386614751382,1237655107839656074,0.000115205787878951,178.48616012,59.59277482,2.925272,8.606688
587729386614751382,1237655107839656074,0.000115205787878951,178.48616012,59.59277482,2.925272,8.606688
587729386620584083,1237655107845488780,6.95048709478854E-05,204.3742123,58.22979436,2.652379,7.158149
587729388223594605,1237655109448499301,9.63708955150571E-05,170.15176313,60.08381515,2.656053,7.309753
587729408080740726,1237655129305645410,7.61459127384344E-06,253.40535277,37.66854422,2.067012,6.78579
587729408084017600,1237655129308922251,2.31331979054633E-06,258.02697025,31.28578761,1.544514,4.968609
587729408084017600,1237655129308922251,2.31331979054633E-06,258.02697025,31.28578761,1.544514,4.968609
587729408613155008,1237655129838059706,1.10897850108987E-05,245.96681832,46.33000427,3.273065,8.693775
587729409157300579,1237655130382205240,1.52296425876423E-05,258.3709764,32.68189736,2.206544,6.471613
587729652349337865,1237655373574242568,5.74155240129618E-06,249.56806578,38.6461098,1.968148,4.708168
587729653959229597,1237655375184134290,5.27232709919546E-06,249.50932989,40.78153129,2.258593,5.351618
587729653959229597,1237655375184134290,5.27232709919546E-06,249.50932989,40.78153129,2.258593,5.351618
587729653959229597,1237655375184134290,5.27232709919546E-06,249.50932989,40.78153129,2.258593,5.351618
587729751137321566,1237655472362226252,7.98784960345034E-07,255.50624,31.49959355,1.308781,3.912565
587729751137321566,1237655472362226252,7.98784960345034E-07,255.50624,31.49959355,1.308781,3.912565
587729752212439651,1237655473437344396,1.63367381022118E-06,258.19135082,29.28758478,2.029488,5.913458
587729752212439651,1237655473437344396,1.63367381022118E-06,258.19135082,29.28758478,2.029488,5.913458
587729752212439651,1237655473437344396,1.63367381022118E-06,258.19135082,29.28758478,2.029488,5.913458
587729752212439651,1237655473437344396,1.63367381022118E-06,258.19135082,29.28758478,2.029488,5.913458
587729752212439651,1237655473437344396,1.63367381022118E-06,258.19135082,29.28758478,2.029488,5.913458
587729752212439651,1237655473437344396,1.63367381022118E-06,258.19135082,29.28758478,2.029488,5.913458
587729753277989131,1237655474502893835,1.25983906933077E-05,245.37053447,45.02002975,2.519122,5.333909
587729753277989131,1237655474502893835,1.25983906933077E-05,245.37053447,45.02002975,2.519122,5.333909
587729777453498609,1237655498678403268,2.46185940544554E-06,235.49618003,-1.72667507,1.25176,3.035741
587729970184126708,1237655691409031456,2.30622583919856E-06,235.10425858,-2.36125083,1.177153,3.751781
587729970184126708,1237655691409031456,2.30622583919856E-06,235.10425858,-2.36125083,1.177153,3.751781
587729970184126708,1237655691409031456,2.30622583919856E-06,235.10425858,-2.36125083,1.177153,3.751781
587730022261129547,1237655743486034292,1.6626505991535E-06,234.22511155,4.54830005,1.626317,4.742379
587730022261129547,1237655743486034292,1.6626505991535E-06,234.22511155,4.54830005,1.626317,4.742379
587730022261260628,1237655743486165337,6.22102083567916E-07,234.54565329,4.51876147,3.974684,8.345208
587730022261260628,1237655743486165337,6.22102083567916E-07,234.54565329,4.51876147,3.974684,8.345208
587730022519668927,1237655743476138167,4.35413895655021E-06,211.5536806,6.46241756,1.745965,4.096772
587730022519668927,1237655743476138167,4.35413895655021E-06,211.5536806,6.46241756,1.745965,4.096772
587730023328645345,1237655744553550060,4.50224227071031E-06,220.06195886,6.76195705,2.364399,5.782929
587730023328645345,1237655744553550060,4.50224227071031E-06,220.06195886,6.76195705,2.364399,5.782929
587730773889253467,1237656495114158155,3.3351651767414E-06,1.12430099,14.57769096,1.987859,4.882802
587730816286195790,1237656537511100479,2.93845497706548E-06,332.49330212,-9.27100329,3.030877,7.43485
587731173844648116,1237656895069552825,8.72719904438122E-07,317.75204606,0.3677383,1.151551,3.51154
587731185115464018,1237656906340368773,4.40316153772606E-06,326.39429693,-0.87078127,2.5314,6.016461
587731185115464018,1237656906340368773,4.40316153772606E-06,326.39429693,-0.87078127,2.5314,6.016461
587731185650827578,1237656906875732215,2.08464063455578E-06,322.90402526,-0.56100274,1.875986,4.678308
587731185655939312,1237656906880844005,2.28141088377198E-06,334.63702824,-0.47027509,3.239197,6.833171
587731185657774301,1237656906882678972,6.05054261352668E-06,338.77851018,-0.5738486,3.123631,7.636549
587731185671340185,1237656906896244871,2.74097175358842E-06,9.81838513,-0.54243001,1.718058,4.558052
